Years,x50_min,rank,Probability,Frequency
"2008-2009",26.04,1,6.25,16
"2009-2010",22.8,2,12.5,8
"2013-2014",20.52,3,18.75,5.33333333333333
"2020-2021",16.92,4,25,4
"2012-2013",16.8,5,31.25,3.2
"2018-2019",15.84,6,37.5,2.66666666666667
"2017-2018",13.92,7,43.75,2.28571428571429
"2007-2008",13.68,8,50,2
"2016-2017",12.36,9,56.25,1.77777777777778
"2021-2022",11.88,10,62.5,1.6
"2019-2020",11.4,11,68.75,1.45454545454545
"2011-2012",10.2,12,75,1.33333333333333
"2015-2016",10.08,13,81.25,1.23076923076923
"2010-2011",9.72,14,87.5,1.14285714285714
"2014-2015",9.6,15,93.75,1.06666666666667
