Years,x1_5_hr,rank,Probability,Frequency
"2001-2002",19.4,1,4.54545454545455,22
"2016-2017",17.3333333333333,2,9.09090909090909,11
"2006-2007",16,3,13.6363636363636,7.33333333333333
"2015-2016",14.8,4,18.1818181818182,5.5
"2009-2010",14.3333333333333,5,22.7272727272727,4.4
"2004-2005",13.1333333333333,6,27.2727272727273,3.66666666666667
"2002-2003",12.9333333333333,7,31.8181818181818,3.14285714285714
"2017-2018",12.6666666666667,8,36.3636363636364,2.75
"2012-2013",12.4,9,40.9090909090909,2.44444444444444
"2010-2011",11.9333333333333,10,45.4545454545455,2.2
"2019-2020",11.8,11,50,2
"2021-2022",10.6,12,54.5454545454545,1.83333333333333
"2011-2012",9.93333333333333,13,59.0909090909091,1.69230769230769
"2005-2006",9.73333333333333,14,63.6363636363636,1.57142857142857
"2018-2019",9.66666666666667,15,68.1818181818182,1.46666666666667
"2014-2015",9.4,16,72.7272727272727,1.375
"2020-2021",9.2,17,77.2727272727273,1.29411764705882
"2008-2009",9.06666666666667,18,81.8181818181818,1.22222222222222
"2003-2004",8.33333333333333,19,86.3636363636364,1.15789473684211
"2007-2008",7.4,20,90.9090909090909,1.1
"2013-2014",6.93333333333333,21,95.4545454545455,1.04761904761905
