Years,x50_min,rank,Probability,Frequency
"2019-2020",59.04,1,4.54545454545455,22
"2017-2018",52.8,2,9.09090909090909,11
"2010-2011",36.84,3,13.6363636363636,7.33333333333333
"2007-2008",35.28,4,18.1818181818182,5.5
"2020-2021",32.28,5,22.7272727272727,4.4
"2013-2014",27.6,6,27.2727272727273,3.66666666666667
"2003-2004",26.76,7,31.8181818181818,3.14285714285714
"2018-2019",26.52,8,36.3636363636364,2.75
"2014-2015",26.28,9,40.9090909090909,2.44444444444444
"2006-2007",25.92,10,45.4545454545455,2.2
"2008-2009",25.32,11,50,2
"2012-2013",25.32,12,54.5454545454545,1.83333333333333
"2015-2016",23.28,13,59.0909090909091,1.69230769230769
"2009-2010",21.12,14,63.6363636363636,1.57142857142857
"2011-2012",20.52,15,68.1818181818182,1.46666666666667
"2001-2002",19.44,16,72.7272727272727,1.375
"2016-2017",18.96,17,77.2727272727273,1.29411764705882
"2005-2006",18.12,18,81.8181818181818,1.22222222222222
"2002-2003",14.76,19,86.3636363636364,1.15789473684211
"2021-2022",14.52,20,90.9090909090909,1.1
"2004-2005",12.48,21,95.4545454545455,1.04761904761905
