Years,x30_min,rank,Probability,Frequency
"2021-2022",53.2,1,6.66666666666667,15
"2011-2012",47.4,2,13.3333333333333,7.5
"2009-2010",40.6,3,20,5
"2018-2019",32.4,4,26.6666666666667,3.75
"2015-2016",32.2,5,33.3333333333333,3
"2020-2021",32.2,6,40,2.5
"2014-2015",31.4,7,46.6666666666667,2.14285714285714
"2017-2018",28.4,8,53.3333333333333,1.875
"2013-2014",26.2,9,60,1.66666666666667
"2008-2009",24.4,10,66.6666666666667,1.5
"2019-2020",22.4,11,73.3333333333333,1.36363636363636
"2012-2013",20,12,80,1.25
"2016-2017",18.6,13,86.6666666666667,1.15384615384615
"2010-2011",14.8,14,93.3333333333333,1.07142857142857
