Years,x40_min,rank,Probability,Frequency
"2020-2021",54.9,1,6.25,16
"2017-2018",48.45,2,12.5,8
"2011-2012",39.45,3,18.75,5.33333333333333
"2018-2019",37.95,4,25,4
"2013-2014",37.65,5,31.25,3.2
"2010-2011",37.05,6,37.5,2.66666666666667
"2021-2022",35.1,7,43.75,2.28571428571429
"2012-2013",33.3,8,50,2
"2014-2015",29.25,9,56.25,1.77777777777778
"2016-2017",28.8,10,62.5,1.6
"2019-2020",24.15,11,68.75,1.45454545454545
"2015-2016",22.65,12,75,1.33333333333333
"2009-2010",22.35,13,81.25,1.23076923076923
"2007-2008",19.8,14,87.5,1.14285714285714
"2008-2009",17.4,15,93.75,1.06666666666667
