Years,x50_min,rank,Probability,Frequency
"2011-2012",45.84,1,5.55555555555556,18
"2012-2013",26.88,2,11.1111111111111,9
"2005-2006",24.48,3,16.6666666666667,6
"2019-2020",23.76,4,22.2222222222222,4.5
"2017-2018",23.04,5,27.7777777777778,3.6
"2015-2016",21.6,6,33.3333333333333,3
"2014-2015",17.88,7,38.8888888888889,2.57142857142857
"2009-2010",15.12,8,44.4444444444444,2.25
"2018-2019",14.76,9,50,2
"2013-2014",13.68,10,55.5555555555556,1.8
"2010-2011",12.96,11,61.1111111111111,1.63636363636364
"2021-2022",12.84,12,66.6666666666667,1.5
"2007-2008",12.24,13,72.2222222222222,1.38461538461538
"2006-2007",11.16,14,77.7777777777778,1.28571428571429
"2020-2021",10.92,15,83.3333333333333,1.2
"2016-2017",9.96,16,88.8888888888889,1.125
"2008-2009",9.24,17,94.4444444444444,1.05882352941176
