Years,x2_hr,rank,Probability,Frequency
"2001-2002",15,1,4,25
"2017-2018",13.45,2,8,12.5
"2008-2009",12.05,3,12,8.33333333333333
"2020-2021",11.6,4,16,6.25
"2012-2013",11.55,5,20,5
"2019-2020",11.2,6,24,4.16666666666667
"2013-2014",11.15,7,28,3.57142857142857
"2010-2011",10.9,8,32,3.125
"2009-2010",10.55,9,36,2.77777777777778
"2003-2004",10.45,10,40,2.5
"2002-2003",9.9,11,44,2.27272727272727
"2015-2016",9.65,12,48,2.08333333333333
"2004-2005",9.1,13,52,1.92307692307692
"1998-1999",8.65,14,56,1.78571428571429
"2011-2012",8.55,15,60,1.66666666666667
"2018-2019",8.55,16,64,1.5625
"2014-2015",8.3,17,68,1.47058823529412
"1999-2000",7.85,18,72,1.38888888888889
"2006-2007",7.55,19,76,1.31578947368421
"2005-2006",7.35,20,80,1.25
"2016-2017",6.55,21,84,1.19047619047619
"2000-2001",5.4,22,88,1.13636363636364
"2021-2022",5.35,23,92,1.08695652173913
"2007-2008",4.15,24,96,1.04166666666667
