Years,x40_min,rank,Probability,Frequency
"2017-2018",35.25,1,4,25
"2010-2011",29.25,2,8,12.5
"2015-2016",28.65,3,12,8.33333333333333
"2012-2013",26.55,4,16,6.25
"2001-2002",24.9,5,20,5
"2013-2014",24.15,6,24,4.16666666666667
"2020-2021",23.85,7,28,3.57142857142857
"2014-2015",22.95,8,32,3.125
"2011-2012",22.95,9,36,2.77777777777778
"2019-2020",22.5,10,40,2.5
"2009-2010",21.45,11,44,2.27272727272727
"2004-2005",21.15,12,48,2.08333333333333
"2005-2006",21,13,52,1.92307692307692
"2002-2003",19.8,14,56,1.78571428571429
"2006-2007",18,15,60,1.66666666666667
"1998-1999",17.85,16,64,1.5625
"2008-2009",15.9,17,68,1.47058823529412
"2018-2019",15.9,18,72,1.38888888888889
"2000-2001",15.3,19,76,1.31578947368421
"1999-2000",15.3,20,80,1.25
"2003-2004",14.25,21,84,1.19047619047619
"2021-2022",13.8,22,88,1.13636363636364
"2016-2017",12.45,23,92,1.08695652173913
"2007-2008",11.55,24,96,1.04166666666667
