Years,x3_hr,rank,Probability,Frequency
"2004-2005",14.0333333333333,1,4,25
"2013-2014",9.73333333333333,2,8,12.5
"2008-2009",7.46666666666667,3,12,8.33333333333333
"2020-2021",5.23333333333333,4,16,6.25
"2016-2017",4.36666666666667,5,20,5
"2000-2001",4,6,24,4.16666666666667
"2017-2018",4,7,28,3.57142857142857
"2019-2020",3.9,8,32,3.125
"2015-2016",3.83333333333333,9,36,2.77777777777778
"1998-1999",3.2,10,40,2.5
"2001-2002",2.7,11,44,2.27272727272727
"2010-2011",2.66666666666667,12,48,2.08333333333333
"2009-2010",2.4,13,52,1.92307692307692
"2003-2004",2.36666666666667,14,56,1.78571428571429
"2012-2013",2.2,15,60,1.66666666666667
"2006-2007",2.13333333333333,16,64,1.5625
"2014-2015",2,17,68,1.47058823529412
"2005-2006",1.86666666666667,18,72,1.38888888888889
"2018-2019",1.86666666666667,19,76,1.31578947368421
"2021-2022",1.7,20,80,1.25
"2002-2003",1.33333333333333,21,84,1.19047619047619
"2007-2008",1.2,22,88,1.13636363636364
"2011-2012",1.1,23,92,1.08695652173913
"1999-2000",1.06666666666667,24,96,1.04166666666667
