Years,x30_min,rank,Probability,Frequency
"2008-2009",49.2,1,6.25,16
"2015-2016",43,2,12.5,8
"2014-2015",39.2,3,18.75,5.33333333333333
"2020-2021",37.4,4,25,4
"2019-2020",37.2,5,31.25,3.2
"2016-2017",36.6,6,37.5,2.66666666666667
"2017-2018",35.6,7,43.75,2.28571428571429
"2009-2010",31,8,50,2
"2018-2019",28.2,9,56.25,1.77777777777778
"2011-2012",26,10,62.5,1.6
"2013-2014",21.8,11,68.75,1.45454545454545
"2012-2013",20.4,12,75,1.33333333333333
"2021-2022",19.6,13,81.25,1.23076923076923
"2010-2011",19.2,14,87.5,1.14285714285714
"2007-2008",18,15,93.75,1.06666666666667
