Years,x4_hr,rank,Probability,Frequency
"2002-2003",6.325,1,6.25,16
"1997-1998",5.725,2,12.5,8
"2005-2006",5.5,3,18.75,5.33333333333333
"2001-2002",5.45,4,25,4
"1993-1994",5.125,5,31.25,3.2
"1995-1996",5.05,6,37.5,2.66666666666667
"1994-1995",4.225,7,43.75,2.28571428571429
"1996-1997",4.175,8,50,2
"2003-2004",3.95,9,56.25,1.77777777777778
"1998-1999",3.9,10,62.5,1.6
"2000-2001",3.725,11,68.75,1.45454545454545
"1999-2000",3.475,12,75,1.33333333333333
"2006-2007",3.175,13,81.25,1.23076923076923
"2007-2008",2.875,14,87.5,1.14285714285714
"2004-2005",2.75,15,93.75,1.06666666666667
