Years,x2_hr,rank,Probability,Frequency
"2019-2020",21.65,1,6.66666666666667,15
"2012-2013",18.45,2,13.3333333333333,7.5
"2014-2015",17.9,3,20,5
"2010-2011",15.1,4,26.6666666666667,3.75
"2021-2022",13.6,5,33.3333333333333,3
"2020-2021",13.1,6,40,2.5
"2017-2018",12.65,7,46.6666666666667,2.14285714285714
"2018-2019",12.25,8,53.3333333333333,1.875
"2016-2017",12.2,9,60,1.66666666666667
"2013-2014",11.55,10,66.6666666666667,1.5
"2015-2016",9.3,11,73.3333333333333,1.36363636363636
"2009-2010",8.8,12,80,1.25
"2008-2009",8.55,13,86.6666666666667,1.15384615384615
"2011-2012",8.5,14,93.3333333333333,1.07142857142857
