Years,x10_min,rank,Probability,Frequency
"2009-2010",59.4,1,7.14285714285714,14
"2013-2014",39.6,2,14.2857142857143,7
"2012-2013",27.6,3,21.4285714285714,4.66666666666667
"2021-2022",25.8,4,28.5714285714286,3.5
"2018-2019",22.2,5,35.7142857142857,2.8
"2011-2012",19.8,6,42.8571428571429,2.33333333333333
"2014-2015",19.2,7,50,2
"2019-2020",17.4,8,57.1428571428571,1.75
"2017-2018",16.8,9,64.2857142857143,1.55555555555556
"2015-2016",14.4,10,71.4285714285714,1.4
"2010-2011",10.8,11,78.5714285714286,1.27272727272727
"2020-2021",8.4,12,85.7142857142857,1.16666666666667
"2016-2017",7.2,13,92.8571428571429,1.07692307692308
