Years,x50_min,rank,Probability,Frequency
"2009-2010",18.24,1,16.6666666666667,6
"2010-2011",14.16,2,33.3333333333333,3
"2011-2012",13.32,3,50,2
"2005-2006",12.24,4,66.6666666666667,1.5
"2008-2009",12.12,5,83.3333333333333,1.2
