Years,x4_5_hr,rank,Probability,Frequency
"2019-2020",12.8666666666667,1,6.25,16
"2017-2018",9.22222222222222,2,12.5,8
"2018-2019",8.97777777777778,3,18.75,5.33333333333333
"2010-2011",8.2,4,25,4
"2012-2013",8.06666666666667,5,31.25,3.2
"2020-2021",7.97777777777778,6,37.5,2.66666666666667
"2007-2008",5.93333333333333,7,43.75,2.28571428571429
"2008-2009",5.88888888888889,8,50,2
"2013-2014",5.8,9,56.25,1.77777777777778
"2021-2022",5.68888888888889,10,62.5,1.6
"2015-2016",5.31111111111111,11,68.75,1.45454545454545
"2009-2010",5.06666666666667,12,75,1.33333333333333
"2014-2015",4.75555555555556,13,81.25,1.23076923076923
"2016-2017",3.75555555555556,14,87.5,1.14285714285714
"2011-2012",3.68888888888889,15,93.75,1.06666666666667
