Years,x20_min,rank,Probability,Frequency
"1997-1998",60.6,1,3.7037037037037,27
"2013-2014",33,2,7.40740740740741,13.5
"2002-2003",32.4,3,11.1111111111111,9
"2000-2001",31.8,4,14.8148148148148,6.75
"2012-2013",31.5,5,18.5185185185185,5.4
"2004-2005",31.2,6,22.2222222222222,4.5
"1996-1997",30.3,7,25.9259259259259,3.85714285714286
"2009-2010",27.3,8,29.6296296296296,3.375
"2003-2004",26.7,9,33.3333333333333,3
"2008-2009",24.9,10,37.037037037037,2.7
"2019-2020",24,11,40.7407407407407,2.45454545454545
"2017-2018",23.7,12,44.4444444444444,2.25
"2005-2006",22.5,13,48.1481481481481,2.07692307692308
"2018-2019",22.2,14,51.8518518518518,1.92857142857143
"2014-2015",20.7,15,55.5555555555556,1.8
"2010-2011",20.1,16,59.2592592592593,1.6875
"2020-2021",19.5,17,62.962962962963,1.58823529411765
"2001-2002",18.3,18,66.6666666666667,1.5
"2015-2016",18,19,70.3703703703704,1.42105263157895
"2016-2017",16.2,20,74.0740740740741,1.35
"2007-2008",14.7,21,77.7777777777778,1.28571428571429
"2006-2007",14.1,22,81.4814814814815,1.22727272727273
"2021-2022",12.6,23,85.1851851851852,1.17391304347826
"2011-2012",8.7,24,88.8888888888889,1.125
"1999-2000",8.1,25,92.5925925925926,1.08
"1998-1999",6.9,26,96.2962962962963,1.03846153846154
