Years,x50_min,rank,Probability,Frequency
"2004-2005",38.04,1,3.84615384615385,26
"2017-2018",25.8,2,7.69230769230769,13
"2008-2009",18.6,3,11.5384615384615,8.66666666666667
"2009-2010",18.12,4,15.3846153846154,6.5
"2015-2016",17.4,5,19.2307692307692,5.2
"2013-2014",16.44,6,23.0769230769231,4.33333333333333
"2018-2019",15.24,7,26.9230769230769,3.71428571428571
"1997-1998",14.04,8,30.7692307692308,3.25
"2000-2001",13.32,9,34.6153846153846,2.88888888888889
"1999-2000",13.08,10,38.4615384615385,2.6
"2010-2011",12.48,11,42.3076923076923,2.36363636363636
"2021-2022",9.72,12,46.1538461538462,2.16666666666667
"2012-2013",9.24,13,50,2
"2014-2015",8.88,14,53.8461538461538,1.85714285714286
"2020-2021",8.04,15,57.6923076923077,1.73333333333333
"2006-2007",7.68,16,61.5384615384615,1.625
"2011-2012",7.2,17,65.3846153846154,1.52941176470588
"1998-1999",6.84,18,69.2307692307692,1.44444444444444
"2001-2002",6.72,19,73.0769230769231,1.36842105263158
"2016-2017",6.48,20,76.9230769230769,1.3
"2019-2020",6.24,21,80.7692307692308,1.23809523809524
"2007-2008",6,22,84.6153846153846,1.18181818181818
"2002-2003",5.04,23,88.4615384615385,1.1304347826087
"2005-2006",5.04,24,92.3076923076923,1.08333333333333
"1996-1997",2.76,25,96.1538461538462,1.04
