Years,x3_5_hr,rank,Probability,Frequency
"2012-2013",12.4,1,8.33333333333333,12
"2017-2018",9.74285714285714,2,16.6666666666667,6
"2013-2014",8.54285714285714,3,25,4
"2015-2016",8.48571428571429,4,33.3333333333333,3
"2019-2020",7.91428571428571,5,41.6666666666667,2.4
"2020-2021",7.31428571428571,6,50,2
"2014-2015",6.71428571428571,7,58.3333333333333,1.71428571428571
"2016-2017",6.57142857142857,8,66.6666666666667,1.5
"2018-2019",6.31428571428571,9,75,1.33333333333333
"2021-2022",4.77142857142857,10,83.3333333333333,1.2
"2011-2012",3.82857142857143,11,91.6666666666667,1.09090909090909
