Years,x5_hr,rank,Probability,Frequency
"2000-2001",7.4,1,4.16666666666667,24
"2013-2014",6.76,2,8.33333333333333,12
"2015-2016",6.62,3,12.5,8
"2017-2018",6.12,4,16.6666666666667,6
"2004-2005",6.02,5,20.8333333333333,4.8
"2021-2022",5.56,6,25,4
"2016-2017",4.96,7,29.1666666666667,3.42857142857143
"2009-2010",4.92,8,33.3333333333333,3
"2014-2015",4.8,9,37.5,2.66666666666667
"2012-2013",4.3,10,41.6666666666667,2.4
"2001-2002",4.14,11,45.8333333333333,2.18181818181818
"1999-2000",4.08,12,50,2
"2007-2008",3.9,13,54.1666666666667,1.84615384615385
"2011-2012",3.7,14,58.3333333333333,1.71428571428571
"2008-2009",3.68,15,62.5,1.6
"2019-2020",3.64,16,66.6666666666667,1.5
"2018-2019",3.38,17,70.8333333333333,1.41176470588235
"2002-2003",3.16,18,75,1.33333333333333
"2010-2011",3.12,19,79.1666666666667,1.26315789473684
"2003-2004",2.88,20,83.3333333333333,1.2
"2020-2021",2.84,21,87.5,1.14285714285714
"2005-2006",2.74,22,91.6666666666667,1.09090909090909
"2006-2007",1.84,23,95.8333333333333,1.04347826086957
