Years,x50_min,rank,Probability,Frequency
"2002-2003",22.2,1,6.25,16
"1994-1995",18.24,2,12.5,8
"2000-2001",17.88,3,18.75,5.33333333333333
"1997-1998",14.52,4,25,4
"2006-2007",13.68,5,31.25,3.2
"2005-2006",13.2,6,37.5,2.66666666666667
"2007-2008",13.08,7,43.75,2.28571428571429
"1996-1997",12.72,8,50,2
"1993-1994",12.6,9,56.25,1.77777777777778
"2003-2004",10.32,10,62.5,1.6
"2001-2002",9.36,11,68.75,1.45454545454545
"1998-1999",8.88,12,75,1.33333333333333
"1995-1996",7.65,13,81.25,1.23076923076923
"1999-2000",7.32,14,87.5,1.14285714285714
"2004-2005",6.6,15,93.75,1.06666666666667
