Years,x3_hr,rank,Probability,Frequency
"2005-2006",14.4,1,8.33333333333333,12
"2009-2010",14.4,2,16.6666666666667,6
"2002-2003",12.6666666666667,3,25,4
"2010-2011",11.0666666666667,4,33.3333333333333,3
"2008-2009",10.8,5,41.6666666666667,2.4
"2001-2002",8.33333333333333,6,50,2
"2007-2008",7.93333333333333,7,58.3333333333333,1.71428571428571
"2000-2001",7.76666666666667,8,66.6666666666667,1.5
"2003-2004",7.73333333333333,9,75,1.33333333333333
"2004-2005",7,10,83.3333333333333,1.2
"2006-2007",5.5,11,91.6666666666667,1.09090909090909
