Years,x3_hr,rank,Probability,Frequency
"1995-1996",4.63333333333333,1,7.69230769230769,13
"1996-1997",4.5,2,15.3846153846154,6.5
"1993-1994",4.46666666666667,3,23.0769230769231,4.33333333333333
"2003-2004",3.38666666666667,4,30.7692307692308,3.25
"2000-2001",3.1,5,38.4615384615385,2.6
"2004-2005",2.87866666666667,6,46.1538461538462,2.16666666666667
"1998-1999",2.63333333333333,7,53.8461538461538,1.85714285714286
"1997-1998",1.6,8,61.5384615384615,1.625
"2002-2003",1.26666666666667,9,69.2307692307692,1.44444444444444
"1999-2000",0.833333333333333,10,76.9230769230769,1.3
"2005-2006",0.7,11,84.6153846153846,1.18181818181818
"2001-2002",0.4,12,92.3076923076923,1.08333333333333
