Years,x10_min,rank,Probability,Frequency
"2020-2021",111.6,1,5.55555555555556,18
"2017-2018",110.4,2,11.1111111111111,9
"2019-2020",106.2,3,16.6666666666667,6
"2015-2016",90.6,4,22.2222222222222,4.5
"2014-2015",87.6,5,27.7777777777778,3.6
"2021-2022",60.6,6,33.3333333333333,3
"2010-2011",56.4,7,38.8888888888889,2.57142857142857
"2005-2006",51.6,8,44.4444444444444,2.25
"2009-2010",50.4,9,50,2
"2006-2007",49.2,10,55.5555555555556,1.8
"2011-2012",49.2,11,61.1111111111111,1.63636363636364
"2013-2014",48.6,12,66.6666666666667,1.5
"2008-2009",48,13,72.2222222222222,1.38461538461538
"2018-2019",46.2,14,77.7777777777778,1.28571428571429
"2007-2008",43.2,15,83.3333333333333,1.2
"2016-2017",42,16,88.8888888888889,1.125
"2012-2013",37.8,17,94.4444444444444,1.05882352941176
