Years,x5_hr,rank,Probability,Frequency
"2019-2020",11.58,1,6.25,16
"2017-2018",8.3,2,12.5,8
"2010-2011",8.28,3,18.75,5.33333333333333
"2020-2021",8.22,4,25,4
"2018-2019",8.08,5,31.25,3.2
"2012-2013",7.6,6,37.5,2.66666666666667
"2007-2008",6.06,7,43.75,2.28571428571429
"2013-2014",5.64,8,50,2
"2008-2009",5.3,9,56.25,1.77777777777778
"2021-2022",5.14,10,62.5,1.6
"2015-2016",4.8,11,68.75,1.45454545454545
"2009-2010",4.56,12,75,1.33333333333333
"2014-2015",4.48,13,81.25,1.23076923076923
"2011-2012",3.66,14,87.5,1.14285714285714
"2016-2017",3.48,15,93.75,1.06666666666667
