Years,x2_hr,rank,Probability,Frequency
"2021-2022",26.5,1,6.66666666666667,15
"2009-2010",15.55,2,13.3333333333333,7.5
"2018-2019",14.45,3,20,5
"2017-2018",14.2,4,26.6666666666667,3.75
"2020-2021",12.65,5,33.3333333333333,3
"2012-2013",12.45,6,40,2.5
"2011-2012",12.15,7,46.6666666666667,2.14285714285714
"2015-2016",11.95,8,53.3333333333333,1.875
"2014-2015",9.55,9,60,1.66666666666667
"2019-2020",8.7,10,66.6666666666667,1.5
"2013-2014",8.3,11,73.3333333333333,1.36363636363636
"2008-2009",7.35,12,80,1.25
"2016-2017",6.8,13,86.6666666666667,1.15384615384615
"2010-2011",5.7,14,93.3333333333333,1.07142857142857
