Years,x10_min,rank,Probability,Frequency
"2016-2017",81,1,6.25,16
"2017-2018",81,2,12.5,8
"2019-2020",75.6,3,18.75,5.33333333333333
"2015-2016",71.4,4,25,4
"2009-2010",69.6,5,31.25,3.2
"2012-2013",67.2,6,37.5,2.66666666666667
"2010-2011",66.6,7,43.75,2.28571428571429
"2014-2015",63.6,8,50,2
"2018-2019",59.4,9,56.25,1.77777777777778
"2020-2021",59.4,10,62.5,1.6
"2007-2008",58.2,11,68.75,1.45454545454545
"2011-2012",56.4,12,75,1.33333333333333
"2008-2009",51.6,13,81.25,1.23076923076923
"2021-2022",43.2,14,87.5,1.14285714285714
"2013-2014",38.4,15,93.75,1.06666666666667
