Years,x4_hr,rank,Probability,Frequency
"2009-2010",7.65,1,6.25,16
"2014-2015",7.175,2,12.5,8
"2020-2021",6.425,3,18.75,5.33333333333333
"2015-2016",6.175,4,25,4
"2018-2019",6.175,5,31.25,3.2
"2017-2018",5.7,6,37.5,2.66666666666667
"2008-2009",5.575,7,43.75,2.28571428571429
"2012-2013",5.225,8,50,2
"2021-2022",5.15,9,56.25,1.77777777777778
"2013-2014",4.9,10,62.5,1.6
"2019-2020",4.8,11,68.75,1.45454545454545
"2016-2017",4.525,12,75,1.33333333333333
"2011-2012",4.375,13,81.25,1.23076923076923
"2007-2008",4.325,14,87.5,1.14285714285714
"2010-2011",3.95,15,93.75,1.06666666666667
