Years,x20_min,rank,Probability,Frequency
"2000-2001",64.8,1,3.84615384615385,26
"1995-1996",59.1,2,7.69230769230769,13
"2020-2021",49.8,3,11.5384615384615,8.66666666666667
"2014-2015",49.5,4,15.3846153846154,6.5
"2008-2009",45.9,5,19.2307692307692,5.2
"1996-1997",45.6,6,23.0769230769231,4.33333333333333
"2009-2010",43.8,7,26.9230769230769,3.71428571428571
"2011-2012",43.8,8,30.7692307692308,3.25
"2017-2018",43.8,9,34.6153846153846,2.88888888888889
"2013-2014",38.4,10,38.4615384615385,2.6
"2010-2011",38.1,11,42.3076923076923,2.36363636363636
"2004-2005",33.6,12,46.1538461538462,2.16666666666667
"1997-1998",32.7,13,50,2
"2002-2003",30.3,14,53.8461538461538,1.85714285714286
"2018-2019",29.4,15,57.6923076923077,1.73333333333333
"2005-2006",25.5,16,61.5384615384615,1.625
"2003-2004",24.6,17,65.3846153846154,1.52941176470588
"2001-2002",24.3,18,69.2307692307692,1.44444444444444
"2007-2008",23.7,19,73.0769230769231,1.36842105263158
"2015-2016",23.1,20,76.9230769230769,1.3
"2006-2007",21.3,21,80.7692307692308,1.23809523809524
"2021-2022",20.4,22,84.6153846153846,1.18181818181818
"2019-2020",20.1,23,88.4615384615385,1.1304347826087
"2012-2013",19.5,24,92.3076923076923,1.08333333333333
"2016-2017",18,25,96.1538461538462,1.04
