Years,x30_min,rank,Probability,Frequency
"2009-2010",40.2,1,5.55555555555556,18
"2020-2021",32,2,11.1111111111111,9
"2015-2016",29.2,3,16.6666666666667,6
"2019-2020",29,4,22.2222222222222,4.5
"2021-2022",25.8,5,27.7777777777778,3.6
"2017-2018",23.4,6,33.3333333333333,3
"2008-2009",21.8,7,38.8888888888889,2.57142857142857
"2018-2019",20.4,8,44.4444444444444,2.25
"2016-2017",20,9,50,2
"2012-2013",18.6,10,55.5555555555556,1.8
"2014-2015",17,11,61.1111111111111,1.63636363636364
"2005-2006",16.6,12,66.6666666666667,1.5
"2011-2012",16.6,13,72.2222222222222,1.38461538461538
"2006-2007",16.4,14,77.7777777777778,1.28571428571429
"2013-2014",16,15,83.3333333333333,1.2
"2010-2011",13,16,88.8888888888889,1.125
"2007-2008",11.8,17,94.4444444444444,1.05882352941176
