Years,x2_5_hr,rank,Probability,Frequency
"2002-2003",14.44,1,4,25
"2005-2006",13.04,2,8,12.5
"2016-2017",12.52,3,12,8.33333333333333
"2019-2020",12,4,16,6.25
"2012-2013",11.68,5,20,5
"2006-2007",11.56,6,24,4.16666666666667
"2021-2022",10.88,7,28,3.57142857142857
"2010-2011",10.72,8,32,3.125
"2004-2005",10.44,9,36,2.77777777777778
"2020-2021",10.44,10,40,2.5
"2013-2014",10.16,11,44,2.27272727272727
"1999-2000",10,12,48,2.08333333333333
"2001-2002",9.84,13,52,1.92307692307692
"2003-2004",9.8,14,56,1.78571428571429
"2018-2019",9.8,15,60,1.66666666666667
"2015-2016",9.72,16,64,1.5625
"2011-2012",9.64,17,68,1.47058823529412
"2017-2018",9.44,18,72,1.38888888888889
"2014-2015",9.04,19,76,1.31578947368421
"2000-2001",8.32,20,80,1.25
"2009-2010",8.04,21,84,1.19047619047619
"2008-2009",7.92,22,88,1.13636363636364
"2007-2008",7.84,23,92,1.08695652173913
"1998-1999",7.76,24,96,1.04166666666667
