Years,x50_min,rank,Probability,Frequency
"2001-2002",29.52,1,4.54545454545455,22
"2015-2016",25.44,2,9.09090909090909,11
"2006-2007",22.08,3,13.6363636363636,7.33333333333333
"2016-2017",21.6,4,18.1818181818182,5.5
"2002-2003",19.2,5,22.7272727272727,4.4
"2012-2013",18.72,6,27.2727272727273,3.66666666666667
"2009-2010",17.76,7,31.8181818181818,3.14285714285714
"2019-2020",15.48,8,36.3636363636364,2.75
"2004-2005",15,9,40.9090909090909,2.44444444444444
"2018-2019",14.52,10,45.4545454545455,2.2
"2010-2011",14.04,11,50,2
"2017-2018",13.56,12,54.5454545454545,1.83333333333333
"2011-2012",12.84,13,59.0909090909091,1.69230769230769
"2005-2006",12.12,14,63.6363636363636,1.57142857142857
"2021-2022",11.76,15,68.1818181818182,1.46666666666667
"2008-2009",11.64,16,72.7272727272727,1.375
"2020-2021",11.52,17,77.2727272727273,1.29411764705882
"2007-2008",11.16,18,81.8181818181818,1.22222222222222
"2014-2015",10.44,19,86.3636363636364,1.15789473684211
"2013-2014",10.08,20,90.9090909090909,1.1
"2003-2004",9.96,21,95.4545454545455,1.04761904761905
