Years,x4_5_hr,rank,Probability,Frequency
"2010-2011",13.9777777777778,1,20,5
"2011-2012",8.55555555555556,2,40,2.5
"2009-2010",5.46666666666667,3,60,1.66666666666667
"2008-2009",5.2,4,80,1.25
