Years,x3_5_hr,rank,Probability,Frequency
"2008-2009",9.17142857142857,1,20,5
"2011-2012",6.51428571428571,2,40,2.5
"2009-2010",6.02857142857143,3,60,1.66666666666667
"2010-2011",4.31428571428571,4,80,1.25
