Years,x3_hr,rank,Probability,Frequency
"1994-1995",12,1,3.125,32
"2015-2016",10.0666666666667,2,6.25,16
"2005-2006",8.03333333333333,3,9.375,10.6666666666667
"2004-2005",7.33333333333333,4,12.5,8
"2002-2003",6.1,5,15.625,6.4
"2017-2018",5.4,6,18.75,5.33333333333333
"2013-2014",5.36666666666667,7,21.875,4.57142857142857
"2010-2011",5.26666666666667,8,25,4
"2014-2015",5.13333333333333,9,28.125,3.55555555555556
"1997-1998",5,10,31.25,3.2
"2001-2002",4.46666666666667,11,34.375,2.90909090909091
"1992-1993",4.33333333333333,12,37.5,2.66666666666667
"2016-2017",4.3,13,40.625,2.46153846153846
"2006-2007",4.16666666666667,14,43.75,2.28571428571429
"2007-2008",4.03333333333333,15,46.875,2.13333333333333
"1996-1997",4,16,50,2
"2019-2020",3.9,17,53.125,1.88235294117647
"2020-2021",3.8,18,56.25,1.77777777777778
"2011-2012",3.56666666666667,19,59.375,1.68421052631579
"2000-2001",3.5,20,62.5,1.6
"2008-2009",3.46666666666667,21,65.625,1.52380952380952
"2003-2004",3.43333333333333,22,68.75,1.45454545454545
"2012-2013",3.33333333333333,23,71.875,1.39130434782609
"2009-2010",3.06666666666667,24,75,1.33333333333333
"2021-2022",3.06666666666667,25,78.125,1.28
"1993-1994",2.66666666666667,26,81.25,1.23076923076923
"1995-1996",2.66666666666667,27,84.375,1.18518518518519
"1999-2000",2.66666666666667,28,87.5,1.14285714285714
"2018-2019",2.26666666666667,29,90.625,1.10344827586207
"1998-1999",1.73333333333333,30,93.75,1.06666666666667
"1991-1992",0.378666666666667,31,96.875,1.03225806451613
