Years,x40_min,rank,Probability,Frequency
"2008-2009",44.4,1,6.25,16
"2015-2016",35.1,2,12.5,8
"2019-2020",30.45,3,18.75,5.33333333333333
"2014-2015",30,4,25,4
"2020-2021",28.95,5,31.25,3.2
"2016-2017",28.2,6,37.5,2.66666666666667
"2017-2018",27.3,7,43.75,2.28571428571429
"2009-2010",26.7,8,50,2
"2018-2019",26.7,9,56.25,1.77777777777778
"2012-2013",22.35,10,62.5,1.6
"2011-2012",19.5,11,68.75,1.45454545454545
"2013-2014",18.15,12,75,1.33333333333333
"2021-2022",16.35,13,81.25,1.23076923076923
"2007-2008",16.05,14,87.5,1.14285714285714
"2010-2011",14.55,15,93.75,1.06666666666667
