Years,x20_min,rank,Probability,Frequency
"2008-2009",62.1,1,6.66666666666667,15
"2014-2015",60,2,13.3333333333333,7.5
"2017-2018",48,3,20,5
"2009-2010",47.1,4,26.6666666666667,3.75
"2020-2021",42.9,5,33.3333333333333,3
"2015-2016",42.9,6,40,2.5
"2016-2017",39,7,46.6666666666667,2.14285714285714
"2012-2013",38.7,8,53.3333333333333,1.875
"2019-2020",37.5,9,60,1.66666666666667
"2010-2011",33.9,10,66.6666666666667,1.5
"2021-2022",33.6,11,73.3333333333333,1.36363636363636
"2018-2019",29.7,12,80,1.25
"2011-2012",24.6,13,86.6666666666667,1.15384615384615
"2013-2014",23.1,14,93.3333333333333,1.07142857142857
