Years,x5_hr,rank,Probability,Frequency
"2018-2019",7.08,1,6.25,16
"2021-2022",6.82,2,12.5,8
"2013-2014",6.34,3,18.75,5.33333333333333
"2012-2013",5.36,4,25,4
"2009-2010",4.62,5,31.25,3.2
"2020-2021",4.52,6,37.5,2.66666666666667
"2017-2018",4.42,7,43.75,2.28571428571429
"2007-2008",4.22,8,50,2
"2011-2012",4.2,9,56.25,1.77777777777778
"2014-2015",3.96,10,62.5,1.6
"2008-2009",3.86,11,68.75,1.45454545454545
"2016-2017",3.66,12,75,1.33333333333333
"2019-2020",3.66,13,81.25,1.23076923076923
"2010-2011",3.64,14,87.5,1.14285714285714
"2015-2016",3.36,15,93.75,1.06666666666667
