Years,x3_hr,rank,Probability,Frequency
"2021-2022",6.7,1,20,5
"2011-2012",6.33333333333333,2,40,2.5
"2010-2011",6.16666666666667,3,60,1.66666666666667
"2009-2010",5.43333333333333,4,80,1.25
