Years,x10_min,rank,Probability,Frequency
"2018-2019",74.4,1,6.25,16
"2010-2011",72.6,2,12.5,8
"2020-2021",69.6,3,18.75,5.33333333333333
"2012-2013",69,4,25,4
"2017-2018",68.4,5,31.25,3.2
"2011-2012",55.8,6,37.5,2.66666666666667
"2019-2020",54,7,43.75,2.28571428571429
"2021-2022",52.2,8,50,2
"2013-2014",49.2,9,56.25,1.77777777777778
"2009-2010",48.6,10,62.5,1.6
"2015-2016",46.2,11,68.75,1.45454545454545
"2007-2008",44.4,12,75,1.33333333333333
"2014-2015",43.8,13,81.25,1.23076923076923
"2008-2009",42,14,87.5,1.14285714285714
"2016-2017",39,15,93.75,1.06666666666667
