Years,x30_min,rank,Probability,Frequency
"2004-2005",80.4,1,4,25
"2008-2009",40.6,2,8,12.5
"2020-2021",30.8,3,12,8.33333333333333
"2016-2017",22.4,4,16,6.25
"2013-2014",17,5,20,5
"2000-2001",16.6,6,24,4.16666666666667
"2015-2016",15.2,7,28,3.57142857142857
"2017-2018",12.8,8,32,3.125
"2001-2002",11.2,9,36,2.77777777777778
"2005-2006",11,10,40,2.5
"2006-2007",10.4,11,44,2.27272727272727
"2019-2020",10.4,12,48,2.08333333333333
"2003-2004",9.2,13,52,1.92307692307692
"2009-2010",8.4,14,56,1.78571428571429
"1998-1999",8.2,15,60,1.66666666666667
"2012-2013",7.6,16,64,1.5625
"2007-2008",7,17,68,1.47058823529412
"2018-2019",6.4,18,72,1.38888888888889
"2010-2011",6.2,19,76,1.31578947368421
"2002-2003",5.8,20,80,1.25
"2021-2022",5.4,21,84,1.19047619047619
"2014-2015",4.2,22,88,1.13636363636364
"2011-2012",3.6,23,92,1.08695652173913
"1999-2000",2.6,24,96,1.04166666666667
