Years,x6_hr,rank,Probability,Frequency
"2010-2011",8.03333333333333,1,16.6666666666667,6
"2009-2010",6.6,2,33.3333333333333,3
"2002-2003",6.38333333333333,3,50,2
"2011-2012",5.11666666666667,4,66.6666666666667,1.5
"2008-2009",4.43333333333333,5,83.3333333333333,1.2
