Years,x20_min,rank,Probability,Frequency
"2013-2014",51.9,1,6.66666666666667,15
"2016-2017",32.4,2,13.3333333333333,7.5
"2019-2020",32.1,3,20,5
"2015-2016",18.3,4,26.6666666666667,3.75
"2014-2015",15.3,5,33.3333333333333,3
"2017-2018",14.7,6,40,2.5
"2009-2010",12.3,7,46.6666666666667,2.14285714285714
"2020-2021",10.8,8,53.3333333333333,1.875
"2021-2022",8.4,9,60,1.66666666666667
"2018-2019",7.8,10,66.6666666666667,1.5
"2012-2013",5.7,11,73.3333333333333,1.36363636363636
"2010-2011",4.5,12,80,1.25
"2007-2008",4.2,13,86.6666666666667,1.15384615384615
"2008-2009",2.1,14,93.3333333333333,1.07142857142857
