Years,x2_5_hr,rank,Probability,Frequency
"2011-2012",19.2,1,16.6666666666667,6
"2010-2011",13,2,33.3333333333333,3
"2009-2010",12.16,3,50,2
"2007-2008",8.96,4,66.6666666666667,1.5
"2008-2009",6.72,5,83.3333333333333,1.2
