Years,x6_hr,rank,Probability,Frequency
"2017-2018",5.03333333333333,1,7.69230769230769,13
"2014-2015",4.21666666666667,2,15.3846153846154,6.5
"2006-2007",3.76666666666667,3,23.0769230769231,4.33333333333333
"2004-2005",3.68333333333333,4,30.7692307692308,3.25
"2007-2008",3.68333333333333,5,38.4615384615385,2.6
"2009-2010",3.63333333333333,6,46.1538461538462,2.16666666666667
"2005-2006",3.35,7,53.8461538461538,1.85714285714286
"2016-2017",2.65,8,61.5384615384615,1.625
"2018-2019",2.33333333333333,9,69.2307692307692,1.44444444444444
"2008-2009",1.95,10,76.9230769230769,1.3
"2015-2016",1.51666666666667,11,84.6153846153846,1.18181818181818
"2020-2021",1.35,12,92.3076923076923,1.08333333333333
