Years,x20_min,rank,Probability,Frequency
"2014-2015",57.3,1,6.25,16
"2008-2009",55.5,2,12.5,8
"2015-2016",52.8,3,18.75,5.33333333333333
"2020-2021",51.3,4,25,4
"2019-2020",48.3,5,31.25,3.2
"2017-2018",48,6,37.5,2.66666666666667
"2016-2017",46.5,7,43.75,2.28571428571429
"2009-2010",38.7,8,50,2
"2011-2012",34.2,9,56.25,1.77777777777778
"2018-2019",29.7,10,62.5,1.6
"2013-2014",26.4,11,68.75,1.45454545454545
"2007-2008",24.3,12,75,1.33333333333333
"2010-2011",24.3,13,81.25,1.23076923076923
"2021-2022",24,14,87.5,1.14285714285714
"2012-2013",22.8,15,93.75,1.06666666666667
