Years,x50_min,rank,Probability,Frequency
"2015-2016",24,1,6.25,16
"2009-2010",22.2,2,12.5,8
"2007-2008",21.12,3,18.75,5.33333333333333
"2016-2017",17.64,4,25,4
"2010-2011",16.8,5,31.25,3.2
"2018-2019",16.32,6,37.5,2.66666666666667
"2014-2015",15.84,7,43.75,2.28571428571429
"2013-2014",15.84,8,50,2
"2019-2020",14.4,9,56.25,1.77777777777778
"2012-2013",13.68,10,62.5,1.6
"2020-2021",13.32,11,68.75,1.45454545454545
"2008-2009",12.48,12,75,1.33333333333333
"2021-2022",11.88,13,81.25,1.23076923076923
"2011-2012",11.64,14,87.5,1.14285714285714
"2017-2018",11.4,15,93.75,1.06666666666667
