Years,x50_min,rank,Probability,Frequency
"2017-2018",28.56,1,6.25,16
"2019-2020",23.88,2,12.5,8
"2020-2021",23.52,3,18.75,5.33333333333333
"2018-2019",22.2,4,25,4
"2008-2009",21.12,5,31.25,3.2
"2012-2013",19.32,6,37.5,2.66666666666667
"2007-2008",19.08,7,43.75,2.28571428571429
"2010-2011",18.96,8,50,2
"2013-2014",18.6,9,56.25,1.77777777777778
"2009-2010",18.24,10,62.5,1.6
"2015-2016",16.44,11,68.75,1.45454545454545
"2011-2012",14.76,12,75,1.33333333333333
"2021-2022",12,13,81.25,1.23076923076923
"2016-2017",10.08,14,87.5,1.14285714285714
"2014-2015",9.84,15,93.75,1.06666666666667
