Years,x10_min,rank,Probability,Frequency
"2008-2009",97.2,1,6.25,16
"2016-2017",48.6,2,12.5,8
"2009-2010",48,3,18.75,5.33333333333333
"2012-2013",44.4,4,25,4
"2013-2014",43.2,5,31.25,3.2
"2017-2018",41.4,6,37.5,2.66666666666667
"2020-2021",39,7,43.75,2.28571428571429
"2021-2022",36.6,8,50,2
"2018-2019",33.6,9,56.25,1.77777777777778
"2015-2016",32.4,10,62.5,1.6
"2019-2020",30.6,11,68.75,1.45454545454545
"2014-2015",29.4,12,75,1.33333333333333
"2007-2008",28.2,13,81.25,1.23076923076923
"2010-2011",21,14,87.5,1.14285714285714
"2011-2012",19.2,15,93.75,1.06666666666667
