Years,x10_min,rank,Probability,Frequency
"2010-2011",108.6,1,5.55555555555556,18
"2015-2016",85.8,2,11.1111111111111,9
"2017-2018",85.8,3,16.6666666666667,6
"2014-2015",84.6,4,22.2222222222222,4.5
"2009-2010",81,5,27.7777777777778,3.6
"2008-2009",69.6,6,33.3333333333333,3
"2020-2021",67.8,7,38.8888888888889,2.57142857142857
"2011-2012",63,8,44.4444444444444,2.25
"2007-2008",59.4,9,50,2
"2018-2019",58.2,10,55.5555555555556,1.8
"2005-2006",53.4,11,61.1111111111111,1.63636363636364
"2013-2014",53.4,12,66.6666666666667,1.5
"2021-2022",52.8,13,72.2222222222222,1.38461538461538
"2012-2013",51,14,77.7777777777778,1.28571428571429
"2019-2020",46.8,15,83.3333333333333,1.2
"2016-2017",41.4,16,88.8888888888889,1.125
"2006-2007",37.8,17,94.4444444444444,1.05882352941176
