Years,x40_min,rank,Probability,Frequency
"2015-2016",40.5,1,6.66666666666667,15
"2019-2020",29.85,2,13.3333333333333,7.5
"2017-2018",28.5,3,20,5
"2021-2022",25.8,4,26.6666666666667,3.75
"2007-2008",23.25,5,33.3333333333333,3
"2012-2013",21,6,40,2.5
"2014-2015",20.4,7,46.6666666666667,2.14285714285714
"2013-2014",20.25,8,53.3333333333333,1.875
"2009-2010",18,9,60,1.66666666666667
"2018-2019",17.85,10,66.6666666666667,1.5
"2008-2009",15.6,11,73.3333333333333,1.36363636363636
"2016-2017",11.85,12,80,1.25
"2010-2011",11.7,13,86.6666666666667,1.15384615384615
"2020-2021",9.6,14,93.3333333333333,1.07142857142857
