Years,x30_min,rank,Probability,Frequency
"2009-2010",28.2,1,5.55555555555556,18
"2013-2014",25.6,2,11.1111111111111,9
"2005-2006",22.8,3,16.6666666666667,6
"2015-2016",21.6,4,22.2222222222222,4.5
"2007-2008",20.4,5,27.7777777777778,3.6
"2014-2015",17.2,6,33.3333333333333,3
"2016-2017",15,7,38.8888888888889,2.57142857142857
"2020-2021",12.4,8,44.4444444444444,2.25
"2012-2013",11.2,9,50,2
"2017-2018",10.6,10,55.5555555555556,1.8
"2010-2011",10.4,11,61.1111111111111,1.63636363636364
"2006-2007",10,12,66.6666666666667,1.5
"2018-2019",9.4,13,72.2222222222222,1.38461538461538
"2021-2022",9.2,14,77.7777777777778,1.28571428571429
"2011-2012",9,15,83.3333333333333,1.2
"2019-2020",8.4,16,88.8888888888889,1.125
"2008-2009",6.8,17,94.4444444444444,1.05882352941176
