Years,x6_hr,rank,Probability,Frequency
"2012-2013",7.23333333333333,1,8.33333333333333,12
"2015-2016",7.18333333333333,2,16.6666666666667,6
"2019-2020",6.5,3,25,4
"2013-2014",6.15,4,33.3333333333333,3
"2017-2018",5.7,5,41.6666666666667,2.4
"2020-2021",5.65,6,50,2
"2016-2017",5.41666666666667,7,58.3333333333333,1.71428571428571
"2014-2015",4.83333333333333,8,66.6666666666667,1.5
"2018-2019",4.4,9,75,1.33333333333333
"2021-2022",3.61666666666667,10,83.3333333333333,1.2
"2011-2012",2.23333333333333,11,91.6666666666667,1.09090909090909
