Years,x30_min,rank,Probability,Frequency
"2020-2021",60.4,1,6.25,16
"2017-2018",59.2,2,12.5,8
"2018-2019",48.6,3,18.75,5.33333333333333
"2010-2011",45.6,4,25,4
"2021-2022",45.2,5,31.25,3.2
"2011-2012",44.2,6,37.5,2.66666666666667
"2012-2013",41.4,7,43.75,2.28571428571429
"2013-2014",39,8,50,2
"2014-2015",36.6,9,56.25,1.77777777777778
"2019-2020",31.6,10,62.5,1.6
"2016-2017",30.4,11,68.75,1.45454545454545
"2009-2010",27.8,12,75,1.33333333333333
"2015-2016",26,13,81.25,1.23076923076923
"2007-2008",22.6,14,87.5,1.14285714285714
"2008-2009",22.4,15,93.75,1.06666666666667
