Years,x40_min,rank,Probability,Frequency
"2013-2014",26.7,1,6.66666666666667,15
"2019-2020",23.25,2,13.3333333333333,7.5
"2016-2017",16.2,3,20,5
"2009-2010",10.35,4,26.6666666666667,3.75
"2015-2016",10.35,5,33.3333333333333,3
"2014-2015",7.8,6,40,2.5
"2017-2018",7.35,7,46.6666666666667,2.14285714285714
"2018-2019",6,8,53.3333333333333,1.875
"2020-2021",6,9,60,1.66666666666667
"2021-2022",5.7,10,66.6666666666667,1.5
"2012-2013",3.75,11,73.3333333333333,1.36363636363636
"2007-2008",3.3,12,80,1.25
"2010-2011",2.25,13,86.6666666666667,1.15384615384615
"2008-2009",1.35,14,93.3333333333333,1.07142857142857
