Years,x1_5_hr,rank,Probability,Frequency
"2017-2018",25.9333333333333,1,5.26315789473684,19
"2020-2021",25.7333333333333,2,10.5263157894737,9.5
"2014-2015",23.8,3,15.7894736842105,6.33333333333333
"2011-2012",22.1333333333333,4,21.0526315789474,4.75
"2009-2010",18.9333333333333,5,26.3157894736842,3.8
"2004-2005",17.3333333333333,6,31.5789473684211,3.16666666666667
"2015-2016",15.9333333333333,7,36.8421052631579,2.71428571428571
"2010-2011",15.7333333333333,8,42.1052631578947,2.375
"2019-2020",15.5333333333333,9,47.3684210526316,2.11111111111111
"2016-2017",14.0666666666667,10,52.6315789473684,1.9
"2007-2008",13.3333333333333,11,57.8947368421053,1.72727272727273
"2018-2019",12.6,12,63.1578947368421,1.58333333333333
"2021-2022",12.5333333333333,13,68.4210526315789,1.46153846153846
"2006-2007",11.8666666666667,14,73.6842105263158,1.35714285714286
"2005-2006",11.6,15,78.9473684210526,1.26666666666667
"2012-2013",10.6666666666667,16,84.2105263157895,1.1875
"2008-2009",9.93333333333333,17,89.4736842105263,1.11764705882353
"2013-2014",7.26666666666667,18,94.7368421052632,1.05555555555556
