Years,x10_min,rank,Probability,Frequency
"2001-2002",65.4,1,4,25
"2014-2015",51.6,2,8,12.5
"2012-2013",45,3,12,8.33333333333333
"2002-2003",38.4,4,16,6.25
"2006-2007",38.4,5,20,5
"2009-2010",37.8,6,24,4.16666666666667
"2004-2005",36,7,28,3.57142857142857
"2005-2006",36,8,32,3.125
"2020-2021",35.4,9,36,2.77777777777778
"2018-2019",34.2,10,40,2.5
"1998-1999",33,11,44,2.27272727272727
"2007-2008",33,12,48,2.08333333333333
"2000-2001",31.8,13,52,1.92307692307692
"2008-2009",31.8,14,56,1.78571428571429
"2015-2016",31.8,15,60,1.66666666666667
"2013-2014",30.6,16,64,1.5625
"2016-2017",29.4,17,68,1.47058823529412
"2010-2011",27,18,72,1.38888888888889
"2019-2020",27,19,76,1.31578947368421
"1999-2000",26.4,20,80,1.25
"2011-2012",26.4,21,84,1.19047619047619
"2017-2018",25.2,22,88,1.13636363636364
"2003-2004",24,23,92,1.08695652173913
"2021-2022",19.8,24,96,1.04166666666667
