Years,x6_hr,rank,Probability,Frequency
"2005-2006",15.75,1,20,5
"2009-2010",6.5195,2,40,2.5
"2008-2009",5.46666666666667,3,60,1.66666666666667
"2011-2012",4.83333333333333,4,80,1.25
