Years,x30_min,rank,Probability,Frequency
"2015-2016",31,1,4.54545454545455,22
"2005-2006",30.6,2,9.09090909090909,11
"2013-2014",30.6,3,13.6363636363636,7.33333333333333
"2014-2015",30.2,4,18.1818181818182,5.5
"2020-2021",26.4,5,22.7272727272727,4.4
"2018-2019",23,6,27.2727272727273,3.66666666666667
"2001-2002",22.6,7,31.8181818181818,3.14285714285714
"2017-2018",22.2,8,36.3636363636364,2.75
"2008-2009",21.8,9,40.9090909090909,2.44444444444444
"2003-2004",20.6,10,45.4545454545455,2.2
"2010-2011",20.2,11,50,2
"2019-2020",19.8,12,54.5454545454545,1.83333333333333
"2006-2007",19.6,13,59.0909090909091,1.69230769230769
"2009-2010",19.6,14,63.6363636363636,1.57142857142857
"2000-2001",17.8,15,68.1818181818182,1.46666666666667
"2012-2013",16.4,16,72.7272727272727,1.375
"2011-2012",16,17,77.2727272727273,1.29411764705882
"2021-2022",13.4,18,81.8181818181818,1.22222222222222
"2016-2017",12.8,19,86.3636363636364,1.15789473684211
"2004-2005",12,20,90.9090909090909,1.1
"2002-2003",11.8,21,95.4545454545455,1.04761904761905
