Years,x1_hr,rank,Probability,Frequency
"2007-2008",31.3,1,5.55555555555556,18
"2015-2016",30,2,11.1111111111111,9
"2008-2009",27,3,16.6666666666667,6
"2020-2021",24.8,4,22.2222222222222,4.5
"2010-2011",21.5,5,27.7777777777778,3.6
"2017-2018",19.5,6,33.3333333333333,3
"2019-2020",18.4,7,38.8888888888889,2.57142857142857
"2009-2010",17,8,44.4444444444444,2.25
"2016-2017",15.7,9,50,2
"2011-2012",14.7,10,55.5555555555556,1.8
"2014-2015",14.5,11,61.1111111111111,1.63636363636364
"2012-2013",13.6,12,66.6666666666667,1.5
"2006-2007",13.4,13,72.2222222222222,1.38461538461538
"2018-2019",11.7,14,77.7777777777778,1.28571428571429
"2005-2006",11.2,15,83.3333333333333,1.2
"2021-2022",10.5,16,88.8888888888889,1.125
"2013-2014",9.5,17,94.4444444444444,1.05882352941176
