Years,x5_hr,rank,Probability,Frequency
"2010-2011",9.34,1,16.6666666666667,6
"2009-2010",8.46,2,33.3333333333333,3
"2011-2012",8.38,3,50,2
"2005-2006",6.88,4,66.6666666666667,1.5
"2008-2009",6.3,5,83.3333333333333,1.2
