Years,x2_hr,rank,Probability,Frequency
"2017-2018",31.85,1,5,20
"2018-2019",29.35,2,10,10
"2015-2016",18.2,3,15,6.66666666666667
"2006-2007",13.85,4,20,5
"2008-2009",13.35,5,25,4
"2020-2021",11.25,6,30,3.33333333333333
"2012-2013",10.6,7,35,2.85714285714286
"2014-2015",10.6,8,40,2.5
"2009-2010",10.55,9,45,2.22222222222222
"2013-2014",9.7,10,50,2
"2004-2005",9.65,11,55,1.81818181818182
"2019-2020",9.35,12,60,1.66666666666667
"2011-2012",8.45,13,65,1.53846153846154
"2016-2017",7.5,14,70,1.42857142857143
"2003-2004",7.2,15,75,1.33333333333333
"2021-2022",7.15,16,80,1.25
"2007-2008",6.7,17,85,1.17647058823529
"2005-2006",6.6,18,90,1.11111111111111
"2010-2011",6.6,19,95,1.05263157894737
