Years,x6_hr,rank,Probability,Frequency
"2021-2022",7.63333333333333,1,6.66666666666667,15
"2009-2010",6.1,2,13.3333333333333,7.5
"2012-2013",5.83333333333333,3,20,5
"2015-2016",5.5,4,26.6666666666667,3.75
"2018-2019",5.48333333333333,5,33.3333333333333,3
"2010-2011",5.45,6,40,2.5
"2017-2018",5.18333333333333,7,46.6666666666667,2.14285714285714
"2020-2021",4.7,8,53.3333333333333,1.875
"2019-2020",4.53333333333333,9,60,1.66666666666667
"2008-2009",4.15,10,66.6666666666667,1.5
"2014-2015",3.76666666666667,11,73.3333333333333,1.36363636363636
"2016-2017",3.61666666666667,12,80,1.25
"2007-2008",3.56666666666667,13,86.6666666666667,1.15384615384615
"2013-2014",3.36666666666667,14,93.3333333333333,1.07142857142857
