Years,x40_min,rank,Probability,Frequency
"2019-2020",53.85,1,6.25,16
"2009-2010",46.2,2,12.5,8
"2012-2013",44.1,3,18.75,5.33333333333333
"2017-2018",42.9,4,25,4
"2016-2017",42.75,5,31.25,3.2
"2010-2011",42.15,6,37.5,2.66666666666667
"2007-2008",39.6,7,43.75,2.28571428571429
"2015-2016",36,8,50,2
"2011-2012",35.4,9,56.25,1.77777777777778
"2020-2021",35.1,10,62.5,1.6
"2018-2019",27,11,68.75,1.45454545454545
"2008-2009",25.95,12,75,1.33333333333333
"2014-2015",24.15,13,81.25,1.23076923076923
"2021-2022",22.05,14,87.5,1.14285714285714
"2013-2014",21.15,15,93.75,1.06666666666667
