Years,x3_5_hr,rank,Probability,Frequency
"2010-2011",8.88571428571429,1,10,10
"2013-2014",8.08571428571429,2,20,5
"2015-2016",7.51428571428571,3,30,3.33333333333333
"2016-2017",7.25714285714286,4,40,2.5
"2014-2015",6.57142857142857,5,50,2
"2012-2013",6.51428571428571,6,60,1.66666666666667
"2011-2012",6.34285714285714,7,70,1.42857142857143
"2009-2010",5.77142857142857,8,80,1.25
"2008-2009",5.25714285714286,9,90,1.11111111111111
